,mood,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo
2995,fitness,16MialO4lAsDe80rGun4dJ,0.787,0.902,1,-4.815,1,0.0542,0.00701,0.0239,0.899,132.034
2996,fitness,2gtBpgluz1zfCqSRMqevh4,0.764,0.868,8,-3.195,1,0.0453,0.0259,0.000132,0.493,99.99
2997,fitness,1quGwf9Y6Qm06wrI0QM8BU,0.889,0.815,10,-3.789,0,0.149,0.00879,1.5e-05,0.697,99.989
2998,fitness,2AxZicqsh2B0mVA39PZ7Fo,0.732,0.76,11,-7.605,0,0.0403,0.0458,0,0.745,91.973
2999,fitness,6bz3ULL5zJSs35OT2kbk1Z,0.77,0.762,6,-4.383,1,0.224,0.147,1.52e-06,0.84,180.019
3000,fitness,5vZl2L1yTObUqhCIrMXTT3,0.646,0.989,8,-2.978,1,0.0793,0.0514,0,0.428,128.005
3001,fitness,3pDhN3qB33AOPhQEkUCaWt,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.917,125.063
3002,fitness,10sIsK3fIxTujLew1Q9Ia1,0.742,0.965,0,-2.648,1,0.124,0.0461,0,0.836,127.977
3003,fitness,4VgYtXCVJ7IbWAZ5ryfvEQ,0.594,0.808,7,-2.409,1,0.0489,0.415,1.39e-05,0.919,188.09
3004,fitness,48zt2qT8dIP18SaGgTqxGy,0.649,0.921,9,-6.014,0,0.0366,0.0116,0.000963,0.64,127.994
3005,fitness,1ni1jIvtUwC0wNOdw6hrmY,0.815,0.861,9,-3.874,1,0.0739,0.195,0.00493,0.887,129.981
3006,fitness,2EPvgAVKbINEZA4A0Huwsd,0.77,0.72,0,-7.698,1,0.0628,0.0659,0,0.52,105.026
3007,fitness,5d3bgKwIIFh5wU3L1IClC4,0.713,0.932,0,-0.832,1,0.135,0.0654,0,0.655,128.043
3008,fitness,1OUPXna2MCgAt3VNmXJBtg,0.834,0.777,5,-4.538,0,0.0593,0.22,0.00609,0.865,129.984
3009,fitness,12XSP1WukjDGR6Wtgfg3QF,0.83,0.703,0,-5.857,1,0.0631,0.0298,0.00249,0.606,128.011
3010,fitness,1QaFrJcoQjTnfMN8Hg5ScJ,0.801,0.943,6,-3.048,0,0.263,0.313,1e-05,0.784,109.837
3011,fitness,4KJKj5GS0bLzbbFZkdsIyE,0.824,0.949,5,-3.302,0,0.22,0.0265,0.0137,0.9,136.038
3012,fitness,0dTHvpGNHWPd3W1uJRJLfg,0.592,0.906,7,-2.442,1,0.196,0.0782,0,0.54,127.978
3013,fitness,2D3z17LBMJ2HEHeBFFjTLi,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.552,176.059
